t1ID,GCCLSID,ConceptLSID,acceptedFamily,family,fullName,rank,genusHybridMarker,genus,genusBasionymAuthors,genusAuthors,speciesHybridMarker,species,speciesBasAuthors,speciesAuthors,infraspecificRank,infraspecificEpithet,infraspecificBasAuthors,infraspecificAuthors,basionymAuthors,primaryAuthors,publication,collation,page,date,reference,basionymID,replacedSynonymID,nomenclaturalRemarks,taxonomicStatus,acceptedNameID,acceptedName,parentNameID,source,originalID,lastModifiedInSourceAvailable,lastModifiedInSource,dateExported,ipniID,IPNIContributions,GCCDataProviders,notes
GCC-0828C6C6-41B7-401C-A99B-000503503D42,urn:lsid:compositae.org:names:0828C6C6-41B7-401C-A99B-000503503D42,urn:lsid:compositae.org:concepts:445029,Asteraceae,Asteraceae,"Corethrogyne detonsa Greene",species,,Corethrogyne,"","DC.",,detonsa,"","Greene",,,"","",NULL,"Greene","Bull. Torrey Bot. Club 10",,"41",1883,,,,"",Synonym,GCC-5D7FD86A-4163-4373-9D8D-F1CD2C1006A2,"Hazardia detonsa (Greene) Greene",GCC-D981325A-2D26-430C-B541-8D8F1B1900FE,GCC,0828C6C6-41B7-401C-A99B-000503503D42,true,2010-04-14T09:30:21.890,2012-02-11T19:46:03,,"198249-1,65965-2","Data Providers:  Govaerts World Compositae Checklist A-G, IPNI, Tropicos",""
GCC-BF34F494-CA3A-4174-95AE-00050CB632EB,urn:lsid:compositae.org:names:BF34F494-CA3A-4174-95AE-00050CB632EB,urn:lsid:compositae.org:concepts:321862,Asteraceae,Asteraceae,"Atractylodes ovata var. tenera (Koidz.) Kom.",variety,,Atractylodes,"","DC.",,ovata,"Thunb.","(Thunb.) DC.",variety,tenera,"Koidz.","(Koidz.) Kom.","Koidz.","Kom.","Key Pl. Far East. USSR 2: 1058 (1932)",,"1058",1932,,GCC-38CE12D3-333C-4FD5-982D-685F456CCAF7,,"",Synonym,GCC-1ED87C40-660A-4B61-BBBE-BA00AE4A6542,"Atractylodes japonica Koidz. ex Kitam.",GCC-48D51300-7D02-4125-ADFB-979BB05F6B4A,GCC,BF34F494-CA3A-4174-95AE-00050CB632EB,true,2011-09-24T19:14:14.297,2012-02-11T19:46:03,,"","Data Providers:  Govaerts World Compositae Checklist A-G",""
GCC-6F3C1F97-7957-4C71-A62B-00053CD7DB3A,urn:lsid:compositae.org:names:6F3C1F97-7957-4C71-A62B-00053CD7DB3A,urn:lsid:compositae.org:concepts:359302,Asteraceae,Asteraceae,"Pentacalia subarachnoidea (Wedd.) Cuatrec.",species,,Pentacalia,"","Cass.",,subarachnoidea,"Wedd.","(Wedd.) Cuatrec.",,,"","","Wedd.","Cuatrec.",NULL,,"259",1981,,GCC-33CEC78A-EC28-4392-AA86-3EB862955F01,,"",Accepted,GCC-6F3C1F97-7957-4C71-A62B-00053CD7DB3A,"Pentacalia subarachnoidea (Wedd.) Cuatrec.",GCC-EA8DF2FF-1352-4E9E-84EF-D6DD0607D5FA,GCC,6F3C1F97-7957-4C71-A62B-00053CD7DB3A,true,2010-04-18T07:03:40.090,2012-02-11T19:46:03,,"1204508-2,909517-1,188036-2,1180388-2","Data Providers:  IPNI, Tropicos, Colombia Checklist, Paramo Checklist, LCR Editor",""
GCC-34B6AB44-17E1-4081-A5FF-0005F359980A,urn:lsid:compositae.org:names:34B6AB44-17E1-4081-A5FF-0005F359980A,urn:lsid:compositae.org:concepts:267416,Asteraceae,Asteraceae,"Berkheya microcephala (DC.) R.A.Dyer",species,,Berkheya,"","Ehrh.",,microcephala,"DC.","(DC.) R.A.Dyer",,,"","","DC.","R.A.Dyer",NULL,,"",1941,,GCC-73360031-CF84-4883-AC18-0A44AF59F987,,"",Synonym,GCC-5C544A06-1C76-4C1D-8E13-3DD2558712D6,"Berkheya discolor (DC.) O.Hoffm. & Muschl.",GCC-55AB2CEF-122F-498B-9D98-FEE9FB01156D,GCC,34B6AB44-17E1-4081-A5FF-0005F359980A,true,2011-09-25T01:09:04.140,2012-02-11T19:46:03,,"184587-1","Data Providers:  African Plant Database, Govaerts World Compositae Checklist A-G, IPNI, Tropicos","ori:FSA"
GCC-B15FF31A-0900-4293-B102-00067D1E2955,urn:lsid:compositae.org:names:B15FF31A-0900-4293-B102-00067D1E2955,urn:lsid:compositae.org:concepts:559930,Asteraceae,Asteraceae,"Mantisalca salmantica var. salmantica",variety,,Mantisalca,"","Cass.",,salmantica,"L.","(L.) Briq. & Cavill.",variety,salmantica,NULL,NULL,NULL,NULL,NULL,,"",,,,,"",Synonym,GCC-03CF9DEB-02D9-45AD-8660-48E7A9FBB593,"Mantisalca salmantica (L.) Briq. & Cavill.",GCC-03CF9DEB-02D9-45AD-8660-48E7A9FBB593,GCC,B15FF31A-0900-4293-B102-00067D1E2955,true,2011-06-27T17:17:41.967,2012-02-11T19:46:03,,"","Data Providers:  LCR Editor",""
GCC-AA797885-D2F2-4DF4-85A3-0007A7727A31,urn:lsid:compositae.org:names:AA797885-D2F2-4DF4-85A3-0007A7727A31,urn:lsid:compositae.org:concepts:555425,Asteraceae,Asteraceae,"Mikania klugii B.L.Rob.",species,,Mikania,"","Willd.",,klugii,"","B.L.Rob.",,,"","",NULL,"B.L.Rob.","Contr. Gray Herb. 104",,"38",1934,,,,"",Accepted,GCC-AA797885-D2F2-4DF4-85A3-0007A7727A31,"Mikania klugii B.L.Rob.",GCC-ED8EB937-82F3-4818-88E1-5EE779DD215E,GCC,AA797885-D2F2-4DF4-85A3-0007A7727A31,true,2010-12-25T22:53:27.323,2012-02-11T19:46:03,,"232971-1,160990-2","Data Providers:  IPNI, Tropicos, Robinson Eupatorieae",""
GCC-D6F47A7D-C880-40C8-9A9A-000AA9C5C5D2,urn:lsid:compositae.org:names:D6F47A7D-C880-40C8-9A9A-000AA9C5C5D2,[none],Asteraceae,Asteraceae,"Actinea linearifolia var. linearifolia",variety,,Actinea,"","Juss.",,linearifolia,"Hook.","(Hook.) Kuntze",variety,linearifolia,NULL,NULL,NULL,NULL,NULL,,"",,,,,"",Synonym,GCC-2D6068D8-CC59-4DD1-8637-5D470353F61B,"Tetraneuris linearifolia (Hook.) Greene",GCC-92A6156A-1EB5-48C2-AB9C-4AC976CCFF01,GCC,D6F47A7D-C880-40C8-9A9A-000AA9C5C5D2,true,2011-09-23T16:42:57.217,2012-02-11T19:46:03,,"","Data Providers:  LCR Editor",""
GCC-B85DDD01-9836-42B2-9237-000AE4A54CAC,urn:lsid:compositae.org:names:B85DDD01-9836-42B2-9237-000AE4A54CAC,urn:lsid:compositae.org:concepts:411602,Asteraceae,Asteraceae,"Spilanthes popayanensis Hieron.",species,,Spilanthes,"","Jacq.",,popayanensis,"","Hieron.",,,"","",NULL,"Hieron.","Bot. Jahrb. Syst. 28",,"610",1901,,,,"",Synonym,GCC-51381743-1A27-4F00-8275-E8314191DD87,"Acmella ciliata (Kunth) Cass.",GCC-43041D66-DE65-494C-AF15-45D99AA521B5,GCC,B85DDD01-9836-42B2-9237-000AE4A54CAC,true,2010-12-23T11:02:28.463,2012-02-11T19:46:03,,"250859-1,242339-2","Data Providers:  IPNI, MesoAmericana, Tropicos, Colombia Checklist, Flora del Conosur, Bolivia Checklist",""
GCC-CFF183D2-25EF-46EA-89E7-000BFF467EAD,urn:lsid:compositae.org:names:CFF183D2-25EF-46EA-89E7-000BFF467EAD,urn:lsid:compositae.org:concepts:386447,Asteraceae,Asteraceae,"Antennaria dioica var. kernensis Jeps.",variety,,Antennaria,"","Gaertn.",,dioica,"L.","(L.) Gaertn.",variety,kernensis,NULL,"Jeps.",NULL,"Jeps.",NULL,,"1071",1925,,,,"",Synonym,GCC-04CA6226-1945-40E8-9C13-E73FE0BB760A,"Antennaria rosea subsp. confinis (Greene) R.J.Bayer",GCC-0C965A22-EADF-4595-B88E-E6EB707DD60E,GCC,CFF183D2-25EF-46EA-89E7-000BFF467EAD,true,2011-09-24T01:05:23.763,2012-02-11T19:46:03,,"14666-2","Data Providers:  Govaerts World Compositae Checklist A-G, IPNI, Tropicos, LCR Editor, Preliminary Checklist of North American Compositae",""
GCC-79A173C1-7634-41EF-96E8-000D5C3A3D65,urn:lsid:compositae.org:names:79A173C1-7634-41EF-96E8-000D5C3A3D65,urn:lsid:compositae.org:concepts:484069,Asteraceae,Asteraceae,"Hieracium gothiciforme (Dahlst.) Dahlst.",species,,Hieracium,"","Tourn. ex L.",,gothiciforme,"Dahlst.","(Dahlst.) Dahlst.",,,"","","Dahlst.","Dahlst.",NULL,,"",1907,,GCC-4EA2686C-3587-45C3-9A83-4A8D64D74A0B,,"",Synonym,GCC-7C60B1E2-5360-43B3-BF54-CE2D01BF6A51,"Hieracium laevigatum subsp. gothiciforme (Dahlst.) Zahn",GCC-F84FA45B-C1DB-4F8F-9A21-7054E4C71895,GCC,79A173C1-7634-41EF-96E8-000D5C3A3D65,true,2010-12-19T04:11:13.053,2012-02-11T19:46:03,,"218043-1","Data Providers:  IPNI, Euro+Med, Cichorieae Portal",""
