NameID	CorrectName
103163	Dyschoriste ciliata (Nees) Kuntze
103165	Justicia radicans Vahl
103167	
103177	
103180	
103182	
103188	
103195	
103200	Ecbolium madagascariense Vollesen
103203	
103204	
103223	
103227	
103239	
103242	
103244	
103245	
103251	
103307	Staurogyne spraguei Wassh.
103314	
103321	
103324	
103326	
103327	
103331	
103336	
103339	
103347	
103348	
103349	
103351	
103356	
103358	
103359	
103364	
103365	
103369	
103373	
103380	
103391	
103396	
103404	
103413	
103430	
103431	
103434	
103436	
103437	
103438	
103439	
103443	
103444	
103448	
103453	
103458	
103459	
103460	
103461	
103462	
103465	
103468	
103469	
103471	
103476	
103486	
103488	
103491	
103494	
103514	
103515	
103516	
103520	
103521	
103522	
103523	
103524	
103525	
103526	
103527	
103535	
103537	
103541	
103542	
103543	
103544	
103547	
103549	Justicia lineolata Ruiz & Pav.
103551	Justicia tenuiflora Ruiz & Pav.
103552	Pachystachys lutea Nees
103555	
103566	
103569	
103570	
103575	
103576	
103578	
103579	
103580	
103581	
103582	
103583	
103597	
103599	
103600	
103604	
103605	
103606	
103607	
103608	
103612	
103618	
103648	
103649	
103653	
103654	
103656	
103657	
103660	
103661	
103662	
103663	Justicia imlayae B. Hansen
103683	
103686	
103688	
103689	
103701	
103719	Anisacanthus caducifolius (Griseb.) Lindau
103742	Justicia nodosa Hook.
103759	
103763	
103764	
103768	
103779	
103792	
103795	
103796	
103800	
103801	
103802	
103803	
103805	
103807	
103808	
103813	
103825	
103834	
103835	
103836	
103838	
103840	
103841	
103850	
103851	
103852	
103853	
103854	
103869	
103872	
103878	
103881	
103886	
103887	
103888	
103889	
103897	
103900	
103905	
103906	
103907	
103909	
103910	
103911	
103912	
103915	
103916	
103917	
103971	
103973	
103979	
103980	
103981	
103982	
103986	
104000	
104001	
104005	
104006	
104011	
104016	
104022	
104023	
104041	Justicia fulvicoma Schltdl. & Cham.
104055	Justicia spicigera Schltdl.
104056	
104058	
104059	
104078	
104086	
104102	Dischistocalyx klainei R. Benoist
104117	Ruellia setigera Pers.
104121	
104139	
104140	
104170	
