"nameID","parentNameID","scientificName","scientificNameAuthorship","nameRank","nameUri","isHybrid","genus","specificEpithet","rankIndicator","otherEpithet","subclass","family","acceptance","acceptedNameID"
50107935,24900389,"Pinus massoniana var. shaxianensis","D.X. Zhou","variety","http://www.tropicos.org/Name/50107935",,"Pinus","massoniana","var.","shaxianensis","Pinidae","Pinaceae","A",
50108396,24900876,"Pseudotsuga sinensis var. sinensis",,"variety","http://www.tropicos.org/Name/50108396",,"Pseudotsuga","sinensis","var.","sinensis","Pinidae","Pinaceae","A",
50108397,24900876,"Pseudotsuga sinensis var. brevifolia","(W.C. Cheng & L.K. Fu) Farjon & Silba","variety","http://www.tropicos.org/Name/50108397",,"Pseudotsuga","sinensis","var.","brevifolia","Pinidae","Pinaceae","S",24901514
50108460,24901027,"Abies fabri var. ziyuanensis","(L.K. Fu & S.L. Mo) Silba","variety","http://www.tropicos.org/Name/50108460",,"Abies","fabri","var.","ziyuanensis","Pinidae","Pinaceae","S",50113134
50108993,24900643,"Pinus pseudostrobus fo. protuberans","Mart├¡nez","forma","http://www.tropicos.org/Name/50108993",,"Pinus","pseudostrobus","fo.","protuberans","Pinidae","Pinaceae","A",
50108995,24900643,"Pinus pseudostrobus var. coatepecensis","Mart├¡nez","variety","http://www.tropicos.org/Name/50108995",,"Pinus","pseudostrobus","var.","coatepecensis","Pinidae","Pinaceae","S",24900643
50108997,24900643,"Pinus pseudostrobus var. estevezii","Mart├¡nez","variety","http://www.tropicos.org/Name/50108997",,"Pinus","pseudostrobus","var.","estevezii","Pinidae","Pinaceae","S",24900643
50111166,24900097,"Larix dahurica fo. viridis","E.H. Wilson","forma","http://www.tropicos.org/Name/50111166",,"Larix","dahurica","fo.","viridis","Pinidae","Pinaceae",,
50113088,24900993,"Abies ferreana var. longibracteata","L.K. Fu & Nan Li","variety","http://www.tropicos.org/Name/50113088",,"Abies","ferreana","var.","longibracteata","Pinidae","Pinaceae","A",
50113134,24901028,"Abies beshanzuensis var. ziyuanensis","(L.K. Fu & S.L. Mo) L.K. Fu & Nan Li","variety","http://www.tropicos.org/Name/50113134",,"Abies","beshanzuensis","var.","ziyuanensis","Pinidae","Pinaceae","A",
50113136,24901165,"Keteleeria fortunei var. oblonga","(W.C. Cheng & L.K. Fu) L.K. Fu & Nan Li","variety","http://www.tropicos.org/Name/50113136",,"Keteleeria","fortunei","var.","oblonga","Pinidae","Pinaceae","A",
50113137,24900378,"Larix gmelinii fo. pendula","(D.S. Zhang & Y.M. Chen) L.K. Fu & Nan Li","forma","http://www.tropicos.org/Name/50113137",,"Larix","gmelinii","fo.","pendula","Pinidae","Pinaceae","S",24901218
50113139,24900378,"Larix gmelinii var. genhensis","S. Y. Li & K.T. Adair","variety","http://www.tropicos.org/Name/50113139",,"Larix","gmelinii","var.","genhensis","Pinidae","Pinaceae","S",50120578
50113140,24900378,"Larix gmelinii fo. genhensis","(S. Y. Li & K.T. Adair) L.K. Fu & Nan Li","forma","http://www.tropicos.org/Name/50113140",,"Larix","gmelinii","fo.","genhensis","Pinidae","Pinaceae","S",50120578
50113141,24900379,"Larix potaninii var. chinensis","(Beissn.) L.K. Fu & Nan Li","variety","http://www.tropicos.org/Name/50113141",,"Larix","potaninii","var.","chinensis","Pinidae","Pinaceae","A",
50113178,24900676,"Picea asperata var. heterolepis","(Rehder & E.H. Wilson) L.K. Fu & Nan Li","variety","http://www.tropicos.org/Name/50113178",,"Picea","asperata","var.","heterolepis","Pinidae","Pinaceae","A",
50113179,24900383,"Picea meyeri var. pyramidalis","H.Wei Jen & C. G. Bai","variety","http://www.tropicos.org/Name/50113179",,"Picea","meyeri","var.","pyramidalis","Pinidae","Pinaceae","S",24900383
50113180,24900383,"Picea meyeri fo. pyramidalis","(H.Wei Jen & C. G. Bai) L.K. Fu & Nan Li","forma","http://www.tropicos.org/Name/50113180",,"Picea","meyeri","fo.","pyramidalis","Pinidae","Pinaceae","S",24900383
50113332,24900962,"Pinus fenzeliana var. dabeshanensis","(C.Y. Cheng & Y.W. Law) L.K. Fu & Nan Li","variety","http://www.tropicos.org/Name/50113332",,"Pinus","fenzeliana","var.","dabeshanensis","Pinidae","Pinaceae","A",
50113333,24901320,"Pinus kwangtungensis var. varifolia","Nan Li & Y.C. Zhong","variety","http://www.tropicos.org/Name/50113333",,"Pinus","kwangtungensis","var.","varifolia","Pinidae","Pinaceae","A",
50113334,24900876,"Pseudotsuga sinensis var. wilsoniana","(Hayata) L.K. Fu & Nan Li","variety","http://www.tropicos.org/Name/50113334",,"Pseudotsuga","sinensis","var.","wilsoniana","Pinidae","Pinaceae","A",
50113336,24900682,"Tsuga chinensis var. patens","(Downie) L.K. Fu & Nan Li","variety","http://www.tropicos.org/Name/50113336",,"Tsuga","chinensis","var.","patens","Pinidae","Pinaceae","A",
50114560,24901151,"Keteleeria evelyniana var. pendula","J.R. Xue","variety","http://www.tropicos.org/Name/50114560",,"Keteleeria","evelyniana","var.","pendula","Pinidae","Pinaceae","S",24901151
50120578,24900378,"Larix gmelinii var. gmelinii",,"variety","http://www.tropicos.org/Name/50120578",,"Larix","gmelinii","var.","gmelinii","Pinidae","Pinaceae","A",
50120581,24900220,"Pinus sylvestris var. manguiensis","S.Y. Li & K.T. Adair","variety","http://www.tropicos.org/Name/50120581",,"Pinus","sylvestris","var.","manguiensis","Pinidae","Pinaceae","S",24900044
50123443,24900201,"Pinus muricata fo. remorata","(H. Mason) Hoover","forma","http://www.tropicos.org/Name/50123443",,"Pinus","muricata","fo.","remorata","Pinidae","Pinaceae","S",24900201
50124796,24900205,"Pinus ponderosa subsp. scopulorum","(Engelm.) W.A. Weber","subspecies","http://www.tropicos.org/Name/50124796",,"Pinus","ponderosa","subsp.","scopulorum","Pinidae","Pinaceae","S",24900207
50128445,24900792,"Larix griffithii var. griffithii",,"variety","http://www.tropicos.org/Name/50128445",,"Larix","griffithii","var.","griffithii","Pinidae","Pinaceae",,
50128446,24900792,"Larix griffithii var. speciosa","(W.C. Cheng & Y.W. Law) Farjon","variety","http://www.tropicos.org/Name/50128446",,"Larix","griffithii","var.","speciosa","Pinidae","Pinaceae","S",24901202
50140504,24900676,"Picea asperata var. notabilis","Rehder & E.H. Wilson","variety","http://www.tropicos.org/Name/50140504",,"Picea","asperata","var.","notabilis","Pinidae","Pinaceae","S",50144511
50140506,24900676,"Picea asperata var. ponderosa","Rehder & E.H. Wilson","variety","http://www.tropicos.org/Name/50140506",,"Picea","asperata","var.","ponderosa","Pinidae","Pinaceae","S",50144507
50140509,50103963,"Picea likiangensis var. rubescens","Rehder & E.H. Wilson","variety","http://www.tropicos.org/Name/50140509",,"Picea","likiangensis","var.","rubescens","Pinidae","Pinaceae","A",
50142855,24900097,"Larix dahurica fo. glauca","Liou & Q.L. Wang","forma","http://www.tropicos.org/Name/50142855",,"Larix","dahurica","fo.","glauca","Pinidae","Pinaceae","S",50120578
50142863,50103963,"Picea likiangensis var. linzhiensis","W.C. Cheng & L.K. Fu","variety","http://www.tropicos.org/Name/50142863",,"Picea","likiangensis","var.","linzhiensis","Pinidae","Pinaceae","A",
50142864,50103963,"Picea likiangensis fo. bicolor","W.C. Cheng & L.K. Fu","forma","http://www.tropicos.org/Name/50142864",,"Picea","likiangensis","fo.","bicolor","Pinidae","Pinaceae","S",24900845
50142865,24900383,"Picea meyeri var. mongolica","H.Q. Wu","variety","http://www.tropicos.org/Name/50142865",,"Picea","meyeri","var.","mongolica","Pinidae","Pinaceae","S",24900383
50142867,24900390,"Pinus hwangshanensis var. wulingensis","S.C. Li","variety","http://www.tropicos.org/Name/50142867",,"Pinus","hwangshanensis","var.","wulingensis","Pinidae","Pinaceae",,
50143424,24900664,"Pinus luchuensis var. shenkanensis","Silba","variety","http://www.tropicos.org/Name/50143424",,"Pinus","luchuensis","var.","shenkanensis","Pinidae","Pinaceae","A",
50144268,24900840,"Pinus insularis var. khasyana","(Griff.) Silba","variety","http://www.tropicos.org/Name/50144268",,"Pinus","insularis","var.","khasyana","Pinidae","Pinaceae","S",24900791
50144270,24900840,"Pinus insularis var. langbianensis","(A. Chev.) Silba","variety","http://www.tropicos.org/Name/50144270",,"Pinus","insularis","var.","langbianensis","Pinidae","Pinaceae","S",24900791
50144271,24900695,"Pinus tabuliformis var. pygmaea","(J.R. Xue) Silba","variety","http://www.tropicos.org/Name/50144271",,"Pinus","tabuliformis","var.","pygmaea","Pinidae","Pinaceae","S",24901373
50144409,24900108,"Pinus densiflora var. densiflora",,"variety","http://www.tropicos.org/Name/50144409",,"Pinus","densiflora","var.","densiflora","Pinidae","Pinaceae","A",
50144410,24900108,"Pinus densiflora fo. liaotungensis","(Liou & Q.L. Wang) Kitag.","forma","http://www.tropicos.org/Name/50144410",,"Pinus","densiflora","fo.","liaotungensis","Pinidae","Pinaceae","S",50144409
50144411,24900108,"Pinus densiflora fo. ussuriensis","(Liou & Z. Wang) Kitag.","forma","http://www.tropicos.org/Name/50144411",,"Pinus","densiflora","fo.","ussuriensis","Pinidae","Pinaceae","S",24901333
50144414,24900022,"Pinus cembra subsp. sibirica","(Du Tour) Krylov","subspecies","http://www.tropicos.org/Name/50144414",,"Pinus","cembra","subsp.","sibirica","Pinidae","Pinaceae","S",24900118
50144415,24900022,"Pinus cembra var. sibirica","(Du Tour) G. Don","variety","http://www.tropicos.org/Name/50144415",,"Pinus","cembra","var.","sibirica","Pinidae","Pinaceae","S",24900118
50144416,24900118,"Pinus sibirica var. hingganensis","(H.J. Zhang) Silba","variety","http://www.tropicos.org/Name/50144416",,"Pinus","sibirica","var.","hingganensis","Pinidae","Pinaceae","S",24900118
50144417,24900962,"Pinus fenzeliana var. fenzeliana",,"variety","http://www.tropicos.org/Name/50144417",,"Pinus","fenzeliana","var.","fenzeliana","Pinidae","Pinaceae","A",
50144419,24901303,"Pinus armandii var. dabeshanensis","(C.Y. Cheng & Y.W. Law) Silba","variety","http://www.tropicos.org/Name/50144419",,"Pinus","armandii","var.","dabeshanensis","Pinidae","Pinaceae","S",50113332
50144423,24901320,"Pinus kwangtungensis var. kwangtungensis",,"variety","http://www.tropicos.org/Name/50144423",,"Pinus","kwangtungensis","var.","kwangtungensis","Pinidae","Pinaceae","A",
50144497,24900164,"Picea abies var. obovata","(Ledeb.) Lindq.","variety","http://www.tropicos.org/Name/50144497",,"Picea","abies","var.","obovata","Pinidae","Pinaceae","S",24900105
50144498,24900751,"Picea excelsa var. obovata","(Ledeb.) Blytt","variety","http://www.tropicos.org/Name/50144498",,"Picea","excelsa","var.","obovata","Pinidae","Pinaceae","S",24900105
50144499,24900766,"Picea vulgaris var. altaica","Tepl.","variety","http://www.tropicos.org/Name/50144499",,"Picea","vulgaris","var.","altaica","Pinidae","Pinaceae","S",24900105
50144500,24900105,"Picea obovata var. schrenkiana","(Fisch. & C.A. Mey.) Carri├¿re","variety","http://www.tropicos.org/Name/50144500",,"Picea","obovata","var.","schrenkiana","Pinidae","Pinaceae","S",24900106
50144502,50144501,"Picea intercedens var. glabra","Uyeki","variety","http://www.tropicos.org/Name/50144502",,"Picea","intercedens","var.","glabra","Pinidae","Pinaceae","S",24900103
50144503,24900103,"Picea koraiensis var. intercedens","(Nakai) Y.L. Chou","variety","http://www.tropicos.org/Name/50144503",,"Picea","koraiensis","var.","intercedens","Pinidae","Pinaceae","S",24900103
50144504,24900678,"Picea koyamae var. koraiensis","(Nakai) Liou & Q.L. Wang","variety","http://www.tropicos.org/Name/50144504",,"Picea","koyamae","var.","koraiensis","Pinidae","Pinaceae","S",24900103
50144506,24900103,"Picea koraiensis var. koraiensis",,"variety","http://www.tropicos.org/Name/50144506",,"Picea","koraiensis","var.","koraiensis","Pinidae","Pinaceae",,
50144507,24900676,"Picea asperata var. asperata",,"variety","http://www.tropicos.org/Name/50144507",,"Picea","asperata","var.","asperata","Pinidae","Pinaceae","A",
50144509,24900676,"Picea asperata var. aurantiaca","(Mast.) Boom","variety","http://www.tropicos.org/Name/50144509",,"Picea","asperata","var.","aurantiaca","Pinidae","Pinaceae",,
